2026-07-29 14:18:20 | INFO     | app | Application démarrée
2026-07-29 14:18:29 | INFO     | app | Application démarrée
2026-07-29 14:18:34 | INFO     | app | Application démarrée
2026-07-29 14:18:44 | INFO     | app | Application démarrée
2026-07-29 14:18:51 | INFO     | app | Application démarrée
2026-07-29 14:19:57 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.036s)
2026-07-29 14:20:00 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.030s)
2026-07-29 14:20:03 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.015s)
2026-07-29 14:20:05 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.019s)
2026-07-29 14:20:11 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.020s)
2026-07-29 14:20:11 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.079s)
2026-07-29 14:20:11 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.098s)
2026-07-29 14:20:11 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.115s)
2026-07-29 14:20:11 | INFO     | app | GET /api/v1/ventes → 200 (0.129s)
2026-07-29 14:20:28 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.047s)
2026-07-29 14:20:28 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.044s)
2026-07-29 14:20:28 | INFO     | app | GET /api/v1/ventes → 200 (0.072s)
2026-07-29 14:20:28 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.072s)
2026-07-29 14:20:45 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.052s)
2026-07-29 14:20:45 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.055s)
2026-07-29 14:20:45 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.069s)
2026-07-29 14:20:45 | INFO     | app | GET /api/v1/ventes → 200 (0.077s)
2026-07-29 14:20:55 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.051s)
2026-07-29 14:20:55 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.053s)
2026-07-29 14:20:55 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.063s)
2026-07-29 14:20:55 | INFO     | app | GET /api/v1/ventes → 200 (0.074s)
2026-07-29 14:21:02 | INFO     | app | GET /api/v1/ventes → 200 (0.087s)
2026-07-29 14:21:04 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.048s)
2026-07-29 14:21:04 | INFO     | app | GET /api/v1/ventes → 200 (0.069s)
2026-07-29 14:21:09 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.020s)
2026-07-29 14:24:55 | INFO     | app | Application démarrée
2026-07-29 14:25:00 | INFO     | app | Application démarrée
2026-07-29 14:25:05 | INFO     | app | Application démarrée
2026-07-29 14:25:09 | INFO     | app | Application démarrée
2026-07-29 14:25:14 | INFO     | app | Application démarrée
2026-07-29 14:25:19 | INFO     | app | Application démarrée
2026-07-29 14:25:23 | INFO     | app | Application démarrée
2026-07-29 14:25:27 | INFO     | app | Application démarrée
2026-07-29 14:27:46 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.035s)
2026-07-29 14:27:46 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.058s)
2026-07-29 14:27:46 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.073s)
2026-07-29 14:27:46 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.089s)
2026-07-29 14:27:46 | INFO     | app | GET /api/v1/ventes → 200 (0.107s)
2026-07-29 14:27:51 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.046s)
2026-07-29 14:27:51 | INFO     | app | GET /api/v1/ventes/familles → 200 (0.044s)
2026-07-29 14:27:51 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.059s)
2026-07-29 14:27:51 | INFO     | app | GET /api/v1/ventes → 200 (0.066s)
2026-07-29 14:27:54 | INFO     | app | GET /api/v1/ventes/clients → 200 (0.051s)
2026-07-29 14:27:54 | INFO     | app | GET /api/v1/ventes → 200 (0.077s)
2026-07-29 14:27:55 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.027s)
2026-07-29 14:27:55 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.046s)
2026-07-29 14:27:55 | WARNING  | app | GET /api/v1/rapports/facturation-clients → 422 (0.019s)
2026-07-29 14:27:55 | WARNING  | app | GET /api/v1/rapports/source-stats → 422 (0.020s)
2026-07-29 14:28:00 | WARNING  | app | GET /api/v1/rapports/facturation-clients → 422 (0.010s)
2026-07-29 14:28:00 | WARNING  | app | GET /api/v1/rapports/source-stats → 422 (0.011s)
2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.053s)
2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes/fdvs → 200 (0.100s)
2026-07-29 14:28:25 | WARNING  | app | GET /api/v1/rapports/source-stats → 422 (0.005s)
2026-07-29 14:28:25 | WARNING  | app | GET /api/v1/rapports/facturation-clients → 422 (0.005s)
2026-07-29 14:28:25 | INFO     | app | GET /api/v1/ventes/periodes → 200 (0.025s)
